current_action,predicted_action,mistral_7b_model_reply,mistral_7b_model_score,phi_3_mini_model_reply,phi_3_mini_model_score,llama_3.2_model_reply,llama_3.2_model_score
throw peel,rinse hand,"Based on the chef's current action of throwing peel, the best assistance would be to fetch a bin or plate to collect the peels.",,Fetch clean peel for chef.,,I'll wash the peel.,
put-down glass,put-away cheese,"Based on the chef's current action, I will fetch the cheese.",,Fetch the cheese.,,I'll put-away the cheese.,
wipe filteraeropress,put-on filter,"Based on the chef's current action of wiping a Filteraeropress, I would suggest cleaning the surrounding area next.",,Fetch the put-on filter for the chef.,,I will wash the filter.,
pick-up cloth,put remote,"Based on the current action of my chef picking up a cloth, I would fetch the washing machine for the next action.",,Fetch the cloth for chef.,,"### action: put remote
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
put-in pepper,pick-up tomatochopped,"Based on the chef's current action of putting in pepper, I would fetch the next ingredient: tomatoes.",,Fetch tomatochopped.,,I'll wash the pepper.,
open freezer,pour-out pea,"Based on the current action, I will fetch the peas if needed.",,Fetch the peas from the freezer.,,I will fetch the peas from the freezer.,
adjust boardchopping,pick-up boardchopping,"Based on the chef's current action of adjusting the board-chopping, I would fetch the necessary ingredients for the next dish.",,Stabilize the chopping board to prevent accidents.,,"### action: wash boardchopping

### next action: dry boardchopping

### next action: cut boardchopping",
put-down mug,put-down ramekincoriander,"Based on the chef's current action of putting down a mug, I would fetch the next required kitchen item.",,Fetch a clean mug for the chef.,,I'll wash the mug.,
close oregano,put-on oregano,"Based on the chef's current action of closing the oregano container, I would fetch the required amount next.",,Fetch oregano.,,I'll wash the oregano.,
stir meat,flip meat,"Based on the current action of stirring meat, I would suggest bringing a spatula to help your chef flip the meat evenly.",,Fetch the meat from the pan.,,"### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring

### response
Wash meat.",
take bagcereal,unfold bagcereal,"If unfolded bag cereal is not yet ready, fetch a clean table.",,Fetch the bag of cereal.,,"### action: unfold bagcereal

### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
put bag,break clovegarlic,"Based on the chef's current action of putting a bag, I would fetch the next ingredient.",,Fetch the clove garlic.,,I'll wash the clove garlic.,
pour-into salt,pick-up containerpepper,"Based on current observation, I will fetch a container for pepper.",,Fetch the pepper.,,I'll wash the container.,
increase heat,pick-up pasta,"Based on the chef's current action of increasing heat, I would fetch the next ingredient or tool.",,Fetch pasta to assist the chef.,,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring

### response
Wash pasta.",
put-down cupmeasuring,take glass,"Based on the chef's current action and the next expected action, I will fetch the glass.",,Fetch the glass for the chef.,,I'll wash the glass.,
pick-up lidtupperware,adjust lidricecooker,"Based on the chef's current action of picking up a lid from a tupperware, I would fetch the appropriate lid for the rice cooker.",,Fetch the lid from the upperware.,,fetch lidtupperware,
put jugmeasuring,move jugmeasuring,"Based on the chef's current action, I will fetch the required ingredients or tools.",,Fetch additional ingredients for the chef.,,I will wash the jugmeasuring.,
rinse hand,pick-up slicer,"Based on the chef's current action of rinsing hands, I will fetch a clean towel to dry them.",,Fetch the slicer to assist the chef.,,I'll wash the utensil.,
open processorfood,spoon-in mixture,"Based on the current action, I would fetch the required spoon.",,Fetch the spoon-in mixture.,,I will wash the processorfood.,
divide meatminced,take pepper,"Based on the current action, I will fetch pepper for the next step.",,Fetch pepper for the chef.,,I'll wash the meatminced.,
pour egg,open dishwasher,"Based on the current action of pouring an egg, I would fetch the next ingredient for my chef to mix.",,Fetch the open dishwasher.,,I will wash the eggs.,
cut papergreaseproof,squeeze balldough,"Based on current observation, I will fetch water for washing greaseproof paper.",,Fetch the balldough.,,I'll wash the papergreaseproof.,
take-from clip,put-on clip,"Based on the chef's current action of taking from a clip, I would suggest the following:

1. Wash the clip if it's dirty.
2. Dry the clip if it's wet.
3. Fetch the next clip if needed.
4. Stabilize the clip if unstable.
5. Bring the required",,Fetch ingredients for the chef's next action.,,I'll put on the clip.,
shake cutlery,put-in cutlery,"Based on the chef's current action of shaking cutlery, I would suggest the following:

1. Wash and rinse the cutlery.
2. Dry the cutlery thoroughly.

Therefore, my suggested action would be: ""Dry the cutlery.""",,Fetch the cutlery for the chef.,,I will wash the cutlery.,
take panfrying,put-on panfrying,"Based on the chef's current action of panfrying, I would fetch the required ingredients or utensils.",,Fetch additional ingredients for the panfrying.,,I will wash the pan.,
put-down cloth,pick-up potmoka,"Based on the current action, I will fetch the requested pot or utensil next.",,Fetch the pot.,,I'll wash the potmoka.,
lift-up lidricecooker,feel temperaturericecooker,"Based on the chef's current action, I would fetch a wooden spoon next.",,Fetch the thermometer to check the rice cooker's temperature.,,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
pick-up spoonwooden,stir mixture,"Based on the chef's current action of picking up a wooden spoon, I would fetch the stirring pot next.",,Fetch the spoon.,,I'm washing the spoonwooden.,
rinse boardchopping,cut chicken,"Based on the chef's current action of rinsing and board chopping, the best assistance would be to fetch the chicken.",,Fetch the cutting board.,,I'll wash the chicken.,
grind cheese,eat cheese,"Based on the current action of grinding cheese, I would fetch the next ingredient for my chef to use.",,Fetch additional cheese for grinding.,,fetch cheese,
take-off bitcarrot,pick-up boardcutting,"Based on the chef's current action of taking off a carrot, the best help would be to fetch the next ingredient.",,Fetch the board for cutting.,,I'll wash the bitcarrot.,
rinse infusertea,sponge infusertea,"Based on the current action, I would fetch a clean teapot next.",,Fetch the sponge infusertea.,,I'll wash the infusertea.,
put-down spatula,wait-for risotto,"Based on the chef's current action of put-down spatula, I would fetch the next cooking utensil or ingredient.",,Fetch the spatula for the chef.,,I'll wash the spatula.,
throw rubbish,pour-out sauceblackbean,I'll fetch a new trash bin to help your next action flow smoothly.,,Fetch the trash bin.,,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
move-on saucepan,stir-in soup,"Based on the chef's current action of moving a saucepan, I would fetch the desired utensil for stirring.",,Fetch the stir-in soup.,,"### action: wash

### next action: dry",
open bag,pick-up choipak,"Based on the current action, I would fetch the chip bag next.",,"Fetch the chopped parsley.

(Note: The instruction implies that the chef has just opened a bag, which could contain various ingredients. The action ""fetch the chopped parsley"" assumes that the chef has previously chopped parsley and it's needed for the current cooking process. However, since the instruction doesn'",,fetch bag.,
pick-up bowlfoodprocessor,pour powderbiscuit,"If chef is pouring powder into food processor, I'll fetch the required powder.",,Fetch the food processor.,,I'm washing the bowl.,
pick-up edgedough,put-down brushpastry,"Based on the chef's next action being ""put-down brushpastry,"" I would fetch the rolling pin to assist with rolling out the dough.",,Fetch the pastry to stabilize the chef's workspace.,,I'll put-down the brushpastry.,
pick-up bread,put-in freezer,"Based on the chef's current action of picking up bread, the best assistance would be to fetch the bread knife for slicing or cutting the bread.",,Fetch the bread for the chef.,,put-in freezer,
put-down tong,take glass,"Based on the chef's current action of put-down tong, I would fetch the requested glass next.",,Fetch the tong.,,I'll wash the glass.,
put-onto pasta,put-into pasta,"Based on the chef's current action, I would fetch water for cooking pasta.",,Fetch fresh ingredients for the pasta dish.,,I will wash the pasta.,
pick-up leafpakchoi,move choipak,"Based on the chef's current action of picking up Chinese cabbage (bok choy), the best assistance would be to:

Prepare it for cooking by washing and cleaning.",,Fetch the leafpakchoi for the chef.,,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
pick-up water,put-down water,"Based on the chef's current action of picking up water, I would fetch a clean glass or container next.",,Fetch water for chef.,,"### action: put-down water
### next action: wash",
put lemon,pick-up oil,"Based on the current action of putting a lemon, I would fetch the next ingredient for my chef.",,Fetch the lemon.,,I'll wash the lemon.,
